date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-06-20,316,4.5,77,13,1,1,8,243,41,3,3,25
2026-06-21,316,4.5,77,13,1,1,8,243,41,3,3,25
2026-06-22,316,4.5,77,13,1,1,8,243,41,3,3,25
2026-06-23,316,4.5,77,13,1,1,8,243,41,3,3,25
2026-06-24,316,4.5,77,13,1,1,8,243,41,3,3,25
2026-06-25,318,4.5,77,13,1,1,8,245,41,3,3,25
2026-06-26,318,4.5,77,13,1,1,8,245,41,3,3,25
2026-06-27,318,4.5,77,13,1,1,8,245,41,3,3,25
2026-06-28,318,4.5,77,13,1,1,8,245,41,3,3,25
2026-06-30,318,4.5,77,13,1,1,8,245,41,3,3,25
2026-07-01,318,4.5,77,13,1,1,8,245,41,3,3,25
2026-07-02,318,4.5,77,13,1,1,8,245,41,3,3,25
2026-07-03,318,4.5,77,13,1,1,8,245,41,3,3,25
2026-07-04,319,4.5,78,12,2,1,7,249,38,6,3,22
2026-07-05,319,4.5,78,12,2,1,7,249,38,6,3,22
2026-07-10,321,4.5,78,12,2,1,7,250,39,6,3,22
2026-07-11,321,4.5,78,12,2,1,7,250,39,6,3,22
2026-07-12,321,4.5,78,12,2,1,7,250,39,6,3,22
2026-07-14,322,4.5,78,12,2,1,7,251,39,6,3,23
2026-07-15,322,4.5,78,12,2,1,7,251,39,6,3,23
2026-07-17,322,4.5,78,12,2,1,7,251,39,6,3,23
2026-07-18,322,4.5,78,12,2,1,7,251,39,6,3,23
2026-07-19,322,4.5,78,12,2,1,7,251,39,6,3,23
2026-07-20,322,4.5,78,12,2,1,7,251,39,6,3,23
2026-07-21,322,4.5,78,12,2,1,7,251,39,6,3,23
