date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-06-20,15986,4.1,61,19,5,2,13,9751,3037,799,320,2078
2026-06-21,15996,4.1,61,19,5,2,13,9758,3039,800,320,2079
2026-06-22,16006,4.1,61,19,5,2,13,9764,3041,800,320,2081
2026-06-23,19197,4.1,62,18,4,2,14,11902,3455,768,384,2688
2026-06-24,1852,3.9,61,13,3,2,21,1130,241,56,37,389
2026-06-25,18817,4.1,62,18,4,2,14,11667,3387,753,376,2634
2026-06-26,1880,3.9,60,14,4,2,20,1128,263,75,38,376
2026-06-27,1890,3.9,60,14,4,2,20,1134,265,76,38,378
2026-06-28,1899,3.9,60,15,3,2,20,1139,285,57,38,380
2026-06-30,18881,4.1,62,18,4,2,14,11706,3399,755,378,2643
2026-07-01,1917,3.9,60,15,4,2,19,1150,288,77,38,364
2026-07-02,1928,3.9,61,15,3,2,19,1176,289,58,39,366
2026-07-03,1935,3.9,61,15,3,2,19,1180,290,58,39,368
2026-07-04,15723,4.1,61,19,5,2,13,9591,2987,786,314,2044
2026-07-05,15726,4.1,62,19,4,2,13,9750,2988,629,315,2044
2026-07-10,15505,4.1,61,19,5,2,13,9458,2946,775,310,2016
2026-07-11,15511,4.1,61,19,5,2,13,9462,2947,776,310,2016
