date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-06-20,492,4.0,59,17,6,3,15,290,84,30,15,74
2026-06-21,493,4.0,59,17,6,3,15,291,84,30,15,74
2026-06-22,496,4.0,59,16,7,3,15,293,79,35,15,74
2026-06-23,496,4.0,59,16,7,3,15,293,79,35,15,74
2026-06-24,498,4.0,60,16,7,3,14,299,80,35,15,70
2026-06-25,499,4.0,60,16,7,3,14,299,80,35,15,70
2026-06-26,502,4.0,59,17,7,3,14,296,85,35,15,70
2026-06-27,502,4.0,59,17,7,3,14,296,85,35,15,70
2026-06-28,502,4.0,60,17,7,3,13,301,85,35,15,65
2026-06-30,503,4.0,60,18,6,3,13,302,91,30,15,65
2026-07-01,503,4.0,60,18,6,3,13,302,91,30,15,65
2026-07-02,504,4.0,60,18,6,3,13,302,91,30,15,66
2026-07-03,504,4.0,60,18,6,3,13,302,91,30,15,66
