date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-06-20,290,4.4,79,6,4,2,9,229,17,12,6,26
2026-06-21,291,4.4,80,6,3,2,9,233,17,9,6,26
2026-06-22,291,4.4,80,6,3,2,9,233,17,9,6,26
2026-06-23,293,4.4,79,6,3,3,9,231,18,9,9,26
2026-06-24,294,4.4,78,7,3,3,9,229,21,9,9,26
2026-06-25,236,4.3,76,8,3,1,12,179,19,7,2,28
2026-06-26,236,4.3,76,8,3,1,12,179,19,7,2,28
2026-06-27,237,4.3,77,8,2,1,12,182,19,5,2,28
2026-06-28,296,4.4,77,8,3,3,9,228,24,9,9,27
2026-06-30,237,4.3,77,8,2,1,12,182,19,5,2,28
2026-07-01,299,4.4,76,8,3,3,10,227,24,9,9,30
2026-07-02,299,4.4,76,8,3,3,10,227,24,9,9,30
2026-07-03,299,4.4,76,8,3,3,10,227,24,9,9,30
2026-07-04,300,4.4,76,8,3,3,10,228,24,9,9,30
2026-07-05,300,4.4,76,8,3,3,10,228,24,9,9,30
2026-07-10,301,4.4,76,8,3,3,10,229,24,9,9,30
2026-07-11,302,4.4,77,8,2,3,10,233,24,6,9,30
2026-07-14,305,4.3,75,8,2,3,12,229,24,6,9,37
2026-07-15,305,4.3,75,9,2,3,11,229,27,6,9,34
2026-07-17,305,4.3,75,9,2,3,11,229,27,6,9,34
2026-07-18,305,4.3,75,9,2,3,11,229,27,6,9,34
2026-07-19,305,4.3,75,9,2,3,11,229,27,6,9,34
