date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-06-20,588,4.5,82,9,1,0,8,482,53,6,0,47
2026-06-21,588,4.5,82,9,1,0,8,482,53,6,0,47
2026-06-22,588,4.5,82,9,1,0,8,482,53,6,0,47
2026-06-23,588,4.5,82,9,1,0,8,482,53,6,0,47
2026-06-24,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-06-25,588,4.5,82,9,1,0,8,482,53,6,0,47
2026-06-26,588,4.5,82,9,1,0,8,482,53,6,0,47
2026-06-27,588,4.5,82,9,1,0,8,482,53,6,0,47
2026-06-28,588,4.5,82,9,1,0,8,482,53,6,0,47
2026-06-30,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-01,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-02,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-03,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-04,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-05,590,4.5,81,9,1,0,9,478,53,6,0,53
2026-07-11,590,4.5,81,9,2,0,8,478,53,12,0,47
2026-07-12,590,4.5,81,9,2,0,8,478,53,12,0,47
2026-07-14,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-15,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-17,590,4.5,81,9,2,0,8,478,53,12,0,47
2026-07-18,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-19,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-20,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-21,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-22,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-25,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-26,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-28,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-30,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-07-31,589,4.5,81,9,2,0,8,477,53,12,0,47
2026-08-01,586,4.5,81,9,2,0,8,475,53,12,0,47
2026-08-02,586,4.5,81,9,2,0,8,475,53,12,0,47
2026-08-06,585,4.5,81,9,2,0,8,474,53,12,0,47
2026-08-07,585,4.5,81,9,2,0,8,474,53,12,0,47
2026-08-08,581,4.5,81,9,2,0,8,471,52,12,0,46
2026-08-09,581,4.5,81,9,2,0,8,471,52,12,0,46
2026-08-10,581,4.5,81,9,2,0,8,471,52,12,0,46
2026-08-11,581,4.5,81,9,2,0,8,471,52,12,0,46
2026-08-12,581,4.5,81,9,2,0,8,471,52,12,0,46
2026-08-14,583,4.5,81,9,2,0,8,472,52,12,0,47
2026-08-15,583,4.5,81,9,2,0,8,472,52,12,0,47
2026-08-16,583,4.5,81,9,2,0,8,472,52,12,0,47
2026-08-18,583,4.5,81,9,2,0,8,472,52,12,0,47
2026-08-19,578,4.5,81,9,2,0,8,468,52,12,0,46
2026-08-21,578,4.5,81,9,2,0,8,468,52,12,0,46
