date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-06-20,304,4.0,65,12,2,1,20,198,36,6,3,61
2026-06-21,306,4.0,65,12,2,1,20,199,37,6,3,61
2026-06-22,303,4.0,63,13,3,1,20,191,39,9,3,61
2026-06-23,303,4.0,63,13,3,1,20,191,39,9,3,61
2026-06-24,303,4.0,63,13,3,1,20,191,39,9,3,61
2026-06-25,304,4.0,64,13,2,1,20,195,40,6,3,61
2026-06-26,304,4.0,64,13,2,1,20,195,40,6,3,61
2026-06-27,307,4.0,63,14,2,1,20,193,43,6,3,61
2026-06-28,307,4.0,63,14,2,1,20,193,43,6,3,61
2026-06-30,307,4.0,63,14,2,1,20,193,43,6,3,61
2026-07-01,6,3.0,50,0,0,0,50,3,0,0,0,3
2026-07-02,308,4.0,64,14,2,1,19,197,43,6,3,59
2026-07-03,308,4.0,64,14,2,1,19,197,43,6,3,59
2026-07-04,308,4.0,64,14,2,1,19,197,43,6,3,59
2026-07-05,309,4.0,63,14,2,1,20,195,43,6,3,62
2026-07-10,308,4.0,63,14,3,0,20,194,43,9,0,62
2026-07-11,251,4.2,67,16,1,1,15,168,40,3,3,38
2026-07-12,251,4.2,67,16,1,1,15,168,40,3,3,38
2026-07-14,251,4.2,67,16,1,1,15,168,40,3,3,38
2026-07-15,252,4.2,68,15,1,1,15,171,38,3,3,38
2026-07-17,253,4.2,68,15,1,1,15,172,38,3,3,38
