date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-04-14,295,4.5,78,9,4,1,8,230,27,12,3,24
2026-04-15,333,4.4,78,9,4,1,8,260,30,13,3,27
2026-04-16,333,4.4,78,9,4,1,8,260,30,13,3,27
2026-04-17,333,4.5,78,9,4,1,8,260,30,13,3,27
2026-04-18,340,4.4,79,8,4,1,8,269,27,14,3,27
2026-04-22,345,4.5,79,8,4,1,8,273,28,14,3,28
2026-04-23,358,4.5,80,8,3,1,8,286,29,11,4,29
2026-04-26,365,4.5,80,8,3,1,8,292,29,11,4,29
2026-04-28,374,4.5,79,9,4,1,7,295,34,15,4,26
2026-05-03,385,4.5,80,9,3,1,7,308,35,12,4,27
2026-05-06,397,4.5,78,10,3,1,8,310,40,12,4,32
2026-05-07,399,4.5,78,9,4,2,7,311,36,16,8,28
2026-05-11,403,4.4,76,11,4,1,8,306,44,16,4,32
2026-05-13,407,4.4,76,11,4,1,8,309,45,16,4,33
2026-05-14,409,4.4,76,11,4,1,8,311,45,16,4,33
2026-05-15,411,4.4,76,11,4,1,8,312,45,16,4,33
2026-05-17,424,4.4,77,11,3,1,8,326,47,13,4,34
2026-05-18,427,4.4,77,11,3,1,8,329,47,13,4,34
2026-05-19,432,4.4,77,11,3,1,8,333,48,13,4,35
2026-05-20,436,4.5,77,11,3,1,8,336,48,13,4,35
2026-05-21,442,4.4,77,11,3,1,8,340,49,13,4,35
2026-05-23,448,4.5,78,10,3,1,8,349,45,13,4,36
2026-05-24,449,4.5,78,10,4,1,7,350,45,18,4,31
2026-05-25,450,4.5,78,10,3,1,8,351,45,14,4,36
2026-05-26,453,4.5,78,10,3,1,8,353,45,14,5,36
2026-05-27,457,4.5,78,10,3,1,8,356,46,14,5,37
2026-05-29,461,4.5,77,10,4,1,8,355,46,18,5,37
2026-05-30,465,4.4,77,11,3,1,8,358,51,14,5,37
2026-06-01,469,4.5,77,11,3,1,8,361,52,14,5,38
2026-06-02,475,4.4,77,11,3,1,8,366,52,14,5,38
2026-06-03,479,4.5,77,11,3,1,8,369,53,14,5,38
2026-06-04,485,4.5,77,11,3,1,8,373,53,15,5,39
2026-06-05,490,4.5,77,11,3,1,8,377,54,15,5,39
2026-06-06,495,4.4,76,11,3,1,8,376,54,15,5,40
2026-06-08,505,4.4,77,11,3,1,8,389,56,15,5,40
2026-06-09,509,4.4,76,11,3,1,9,387,56,15,5,46
2026-06-10,514,4.4,76,11,3,1,9,391,57,15,5,46
2026-06-11,517,4.4,76,11,3,1,9,393,57,16,5,47
2026-06-12,519,4.4,76,11,3,1,9,394,57,16,5,47
2026-06-13,520,4.4,76,11,3,1,9,395,57,16,5,47
2026-06-15,522,4.4,76,11,3,1,9,397,57,16,5,47
2026-06-17,526,4.4,76,11,3,1,9,400,58,16,5,47
2026-06-18,530,4.4,75,12,3,1,9,398,64,16,5,48
2026-06-19,532,4.4,75,12,3,1,9,399,64,16,5,48
2026-06-20,535,4.4,75,11,4,1,9,401,59,21,5,48
2026-06-21,537,4.4,75,11,4,1,9,403,59,21,5,48
2026-06-22,538,4.4,75,11,3,2,9,404,59,16,11,48
2026-06-23,541,4.4,75,12,3,1,9,406,65,16,5,49
2026-06-24,545,4.4,75,12,3,1,9,409,65,16,5,49
2026-06-26,548,4.4,75,11,3,2,9,411,60,16,11,49
2026-06-27,552,4.4,75,12,3,1,9,414,66,17,6,50
2026-06-28,553,4.4,75,12,3,1,9,415,66,17,6,50
2026-06-30,556,4.4,75,11,3,2,9,417,61,17,11,50
2026-07-01,559,4.4,75,11,3,2,9,419,61,17,11,50
2026-07-02,566,4.4,76,11,3,1,9,430,62,17,6,51
2026-07-03,569,4.4,75,11,3,1,10,427,63,17,6,57
2026-07-04,570,4.4,75,11,3,1,10,428,63,17,6,57
2026-07-05,572,4.4,76,11,2,1,10,435,63,11,6,57
2026-07-10,580,4.4,75,11,3,1,10,435,64,17,6,58
