date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-06-20,171,4.5,80,8,4,1,7,137,14,7,2,12
2026-06-21,171,4.5,80,8,4,1,7,137,14,7,2,12
2026-06-22,172,4.5,80,8,4,1,7,138,14,7,2,12
2026-06-23,145,4.4,77,8,6,2,7,112,12,9,3,10
2026-06-24,145,4.4,77,8,6,2,7,112,12,9,3,10
2026-06-25,145,4.4,77,8,6,2,7,112,12,9,3,10
2026-06-26,145,4.4,77,8,6,2,7,112,12,9,3,10
2026-06-27,145,4.4,77,8,6,2,7,112,12,9,3,10
2026-06-28,145,4.4,77,8,6,2,7,112,12,9,3,10
2026-06-30,145,4.4,77,8,6,2,7,112,12,9,3,10
2026-07-01,146,4.5,80,7,5,2,6,117,10,7,3,9
2026-07-02,146,4.5,80,7,5,2,6,117,10,7,3,9
2026-07-03,147,4.5,81,7,4,2,6,119,10,6,3,9
2026-07-04,146,4.5,80,7,5,2,6,117,10,7,3,9
2026-07-05,146,4.5,80,7,5,2,6,117,10,7,3,9
2026-07-10,147,4.5,81,7,4,2,6,119,10,6,3,9
