date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-04-14,814,4.6,83,9,2,0,6,676,73,16,0,49
2026-04-15,822,4.6,83,9,2,0,6,682,74,16,0,49
2026-04-16,829,4.6,84,9,1,0,6,696,75,8,0,50
2026-04-17,835,4.6,84,9,1,0,6,701,75,8,0,50
2026-04-18,849,4.6,83,8,2,0,7,705,68,17,0,59
2026-04-22,870,4.6,84,8,1,0,7,731,70,9,0,61
2026-04-23,915,4.6,83,8,1,1,7,759,73,9,9,64
2026-04-26,923,4.6,83,9,1,1,6,766,83,9,9,55
2026-04-28,972,4.6,83,9,0,1,7,807,87,0,10,68
2026-05-03,1000,4.6,82,9,2,0,7,820,90,20,0,70
2026-05-06,1087,4.6,82,9,2,0,7,891,98,22,0,76
2026-05-07,1090,4.6,82,8,2,1,7,894,87,22,11,76
2026-05-09,1102,4.5,82,9,2,0,8,904,99,22,0,88
2026-05-11,1074,4.5,81,9,2,0,8,870,97,21,0,86
2026-05-13,1094,4.5,81,9,2,0,8,886,98,22,0,88
2026-05-14,1117,4.5,81,9,2,0,8,905,101,22,0,89
2026-05-15,1132,4.5,82,9,1,0,8,928,102,11,0,91
2026-05-17,1182,4.5,82,9,1,0,8,969,106,12,0,95
2026-05-18,1197,4.5,82,9,1,0,8,982,108,12,0,96
2026-05-19,1215,4.5,81,9,2,0,8,984,109,24,0,97
2026-05-20,1228,4.5,81,9,2,0,8,995,111,25,0,98
2026-05-21,1249,4.5,81,9,2,0,8,1012,112,25,0,100
2026-05-23,1281,4.5,80,9,2,0,9,1025,115,26,0,115
2026-05-24,1288,4.5,80,9,2,0,9,1030,116,26,0,116
2026-05-25,1300,4.5,80,9,2,0,9,1040,117,26,0,117
2026-05-26,1301,4.5,80,9,2,0,9,1041,117,26,0,117
2026-05-27,1323,4.5,79,9,2,0,9,1045,119,26,0,119
2026-05-29,1344,4.5,79,10,2,0,9,1062,134,27,0,121
2026-05-30,1361,4.5,79,10,1,1,9,1075,136,14,14,122
2026-06-01,1368,4.5,79,10,1,1,9,1081,137,14,14,123
2026-06-02,1384,4.5,79,10,1,1,9,1093,138,14,14,125
2026-06-03,1399,4.4,79,9,1,1,10,1105,126,14,14,140
2026-06-04,1405,4.4,79,9,1,1,10,1110,126,14,14,140
2026-06-05,1413,4.5,79,9,1,1,10,1116,127,14,14,141
2026-06-06,1427,4.4,79,9,1,1,10,1127,128,14,14,143
2026-06-08,1445,4.4,79,9,1,1,10,1142,130,14,14,144
2026-06-09,1453,4.4,79,9,1,1,10,1148,131,15,15,145
2026-06-10,1461,4.4,79,9,1,1,10,1154,131,15,15,146
2026-06-11,1473,4.4,79,10,1,1,10,1164,147,15,15,147
2026-06-12,1486,4.4,79,10,1,1,10,1174,149,15,15,149
2026-06-13,1491,4.4,79,10,1,1,10,1178,149,15,15,149
2026-06-15,1502,4.5,79,10,0,1,10,1187,150,0,15,150
2026-06-17,1511,4.4,79,10,0,1,10,1194,151,0,15,151
2026-06-18,1530,4.4,79,10,0,1,10,1209,153,0,15,153
2026-06-19,1531,4.4,79,10,1,0,10,1209,153,15,0,153
2026-06-20,1543,4.5,79,10,1,1,9,1219,154,15,15,139
2026-06-21,1555,4.4,79,10,1,0,10,1228,156,16,0,156
2026-06-22,1569,4.5,79,10,1,1,9,1240,157,16,16,141
2026-06-23,1578,4.5,79,10,1,1,9,1247,158,16,16,142
2026-06-24,1587,4.5,79,10,1,1,9,1254,159,16,16,143
2026-06-25,1592,4.4,79,10,1,0,10,1258,159,16,0,159
2026-06-26,1597,4.4,79,10,1,1,9,1262,160,16,16,144
2026-06-27,1606,4.4,79,10,1,0,10,1269,161,16,0,161
2026-06-28,1619,4.4,79,10,1,0,10,1279,162,16,0,162
2026-06-30,1639,4.4,78,10,1,1,10,1278,164,16,16,164
2026-07-01,1644,4.4,78,10,1,1,10,1282,164,16,16,164
2026-07-02,1657,4.4,78,10,1,1,10,1292,166,17,17,166
2026-07-03,1662,4.4,78,10,1,1,10,1296,166,17,17,166
2026-07-04,1664,4.4,78,11,1,0,10,1298,183,17,0,166
2026-07-05,1667,4.4,78,10,2,0,10,1300,167,33,0,167
2026-07-10,1740,4.4,78,11,1,1,9,1357,191,17,17,157
2026-07-11,1752,4.4,78,10,2,1,9,1367,175,35,18,158
2026-07-12,1800,4.4,78,11,1,1,9,1404,198,18,18,162
2026-07-14,1875,4.4,78,11,2,0,9,1462,206,38,0,169
2026-07-15,1899,4.4,78,11,2,0,9,1481,209,38,0,171
2026-07-17,1942,4.4,77,11,2,1,9,1495,214,39,19,175
2026-07-18,1963,4.4,77,12,1,1,9,1512,236,20,20,177
