date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-06-20,3,3.5,62,0,0,0,38,2,0,0,0,1
2026-06-21,3,3.5,62,0,0,0,38,2,0,0,0,1
2026-06-22,3,3.5,62,0,0,0,38,2,0,0,0,1
2026-06-23,3,3.5,62,0,0,0,38,2,0,0,0,1
2026-06-24,3,3.5,62,0,0,0,38,2,0,0,0,1
2026-06-25,3,3.5,62,0,0,0,38,2,0,0,0,1
2026-06-26,3,3.5,62,0,0,0,38,2,0,0,0,1
2026-06-27,4,3.8,69,0,0,0,31,3,0,0,0,1
2026-06-28,4,3.8,69,0,0,0,31,3,0,0,0,1
2026-06-30,4,3.8,69,0,0,0,31,3,0,0,0,1
2026-07-01,4,3.8,69,0,0,0,31,3,0,0,0,1
2026-07-02,4,3.8,69,0,0,0,31,3,0,0,0,1
2026-07-03,4,3.8,69,0,0,0,31,3,0,0,0,1
2026-07-04,4,3.8,69,0,0,0,31,3,0,0,0,1
2026-07-05,4,3.8,69,0,0,0,31,3,0,0,0,1
2026-07-10,5,3.7,50,25,0,0,25,2,1,0,0,1
2026-07-11,5,3.7,50,25,0,0,25,2,1,0,0,1
2026-07-12,5,3.7,50,25,0,0,25,2,1,0,0,1
2026-07-14,5,3.7,50,25,0,0,25,2,1,0,0,1
2026-07-15,5,3.7,50,25,0,0,25,2,1,0,0,1
2026-07-17,5,3.7,50,25,0,0,25,2,1,0,0,1
2026-07-18,5,3.7,50,25,0,0,25,2,1,0,0,1
2026-07-19,5,3.7,50,25,0,0,25,2,1,0,0,1
2026-07-20,5,3.7,50,25,0,0,25,2,1,0,0,1
